key;de
portal-engine.invalid-hex-in-color-field;Ungültiger HEX Farbcode im Feld
portal-engine.update-customized-build-not-possible;Funktion deaktiviert weil Customized Frontend Build aktiviert ist. Anpassungden des Customized Frontend Builds über die Console möglich.
portal-engine.configuration;Konfiguration
portal-engine.content.navigation;Navigation
portal-engine.content.navigation-icon;Verwende vordefiniertes Icon
portal-engine.content.color;Farbe
portal-engine.content.media-left;Bild link
portal-engine.content.size;Größe
portal-engine.footer.menu-items;Menüeinträge
portal-engine.or;oder
portal-engine.content.navigation-icon-asset;Verwende ein beliebiges SVG Asset
portal-engine.data-pool.no-pre-condition-service-registered;Kein Precondition Service registriert
portal-engine.data-pool.pre-condition-service;Pre Condition Service
portal-engine.data-pool.workspace-definition;Workspace Definition
portal-engine.data-pool.workspace-path;Workspace Pfad
portal-engine.data-pool.navigation-settings;Navigationseinstellungen
portal-engine.data-pool.enable-folder-navigation;Ordnernavigation aktivieren
portal-engine.data-pool.enable-tag-navigation;Tagnavigation aktivieren
portal-engine.data-pool.root-tag;Roottag
portal-engine.data-pool.filter-definition;Filterdefinition
portal-engine.data-pool.filter-field;Filterfeld
portal-engine.data-pool.filter-type;Filtertyp
portal-engine.data-pool.filter-type.select;Einfachauswahl
portal-engine.data-pool.filter-type.multiSelect;Mehrfachauswahl
portal-engine.data-pool.sort-options;Sortieroptionen
portal-engine.data-pool.sort-direction;Sortierreihenfolge
portal-engine.data-pool.sort-direction.asc;Aufsteigend
portal-engine.data-pool.sort-direction.desc;Absteigend
portal-engine.data-pool.sort-field;Feld
portal-engine.data-pool.grid-configuration-attributes;Gridattribute
portal-engine.data-pool.grid-configuration-name-attribute;Grid Namensattribut
portal-engine.data-pool.grid-configuration;Konfiguration Grid
portal-engine.data-pool.detail-page-general-attributes;Allgemeine Attribute für Übersichtsseite
portal-engine.data-pool.detail-page-configuration;Konfiguration Detailseite
portal-engine.data-pool.enable-version-history;Versionen anzeigen
portal-engine.data-pool.download-configuration;Konfiguration Downloads
portal-engine.data-pool.available-download-thumbnails;Verfügbare Thumbnails
portal-engine.data-pool.data-objects.class-definition;Data Object Class
portal-engine.data-pool.data-objects.detail-page-layout;Layout Detailseite
portal-engine.data-pool.data-objects.no-custom-layouts-configured;Derzeit sind keine Custom Layouts konfiguriert. Bitte ein im Klasseneditor ein Custom Layout hinzufügen.
portal-engine.data-pool.data-objects.available-download-formats;Verfügbare Downloadformate
portal-engine.data-pool.data-objects.no-download-formats-configured;Derzeit sind keine Downloadformate konfiguriert.
portal-engine.data-pool.permission.view;Zeigen
portal-engine.data-pool.permission.download;Download
portal-engine.data-pool.permission.edit;Metadaten bearbeiten
portal-engine.data-pool.permission.update;Asset bearbeiten
portal-engine.data-pool.permission.create;Erstellen
portal-engine.data-pool.permission.delete;Löschen
portal-engine.data-pool.permission.subfolder;Unterordner verwalten
portal-engine.data-pool.permission.view-owned-assets-only;Zeige nur eigene Assets
portal-engine.data-pool.languages-configuration;Konfiguration Sprachen
portal-engine.data-pool.visible-languages;Sichbare Sprachen
portal-engine.data-pool.editable-languages;Bearbeitbare Sprachen
portal-engine.data-pool.upload_folder;Uploadordner
portal-engine.update-frontend-build;Frontend Build aktualisieren
portal-engine.update-frontend-build-running;Frontend build wird aktualisiert...
portal-engine.frontend-build-finished;Frontend build abgeschlossen
