key;en
portal-engine.invalid-hex-in-color-field;Invalid hex in color field
portal-engine.update-customized-build-not-possible;This feature is deactivated as a customized frontend build is configured. Updating a customized frontend build is only possible via console.
portal-engine.configuration;Configuration
portal-engine.content.navigation;Navigation
portal-engine.content.navigation-icon;Use a predefined icon
portal-engine.content.color;Color
portal-engine.content.media-left;Image Left
portal-engine.content.size;Size
portal-engine.footer.menu-items;Menu Items
portal-engine.or;or
portal-engine.content.navigation-icon-asset;use any asset svg
portal-engine.data-pool.no-pre-condition-service-registered;No precondition service registered.
portal-engine.data-pool.pre-condition-service;Pre Condition Service
portal-engine.data-pool.workspace-definition;Workspace Definition
portal-engine.data-pool.workspace-path;Workspace Path
portal-engine.data-pool.navigation-settings;Navigation settings
portal-engine.data-pool.enable-folder-navigation;Enable Folder Navigation
portal-engine.data-pool.enable-tag-navigation;Enable Tag Navigation
portal-engine.data-pool.root-tag;Root Tag
portal-engine.data-pool.filter-definition;Filter Definition
portal-engine.data-pool.filter-field;Filter Field
portal-engine.data-pool.filter-type;Filter Type
portal-engine.data-pool.filter-type.select;Select
portal-engine.data-pool.filter-type.multiSelect;Multi Select
portal-engine.data-pool.sort-options;Sort Options
portal-engine.data-pool.sort-direction;Sort Direction
portal-engine.data-pool.sort-direction.asc;Ascending
portal-engine.data-pool.sort-direction.desc;Descendig
portal-engine.data-pool.sort-field;Field
portal-engine.data-pool.grid-configuration-attributes;Grid Configuration Attributes
portal-engine.data-pool.grid-configuration-name-attribute;Grid Name Attribute
portal-engine.data-pool.grid-configuration;Grid Configuration
portal-engine.data-pool.detail-page-general-attributes;Detail Page General Attributes
portal-engine.data-pool.detail-page-configuration;Detail Page Configuration
portal-engine.data-pool.enable-version-history;Enable Version History
portal-engine.data-pool.download-configuration;Download Configuration
portal-engine.data-pool.available-download-thumbnails;Available Download Thumbnails
portal-engine.data-pool.data-objects.class-definition;Data Object Class
portal-engine.data-pool.data-objects.detail-page-layout;Detail Page Layout
portal-engine.data-pool.data-objects.no-custom-layouts-configured;There are currently no custom layouts configured. Please add a custom layout definition in the data object class editor.
