key;de
portal-engine.general-error;Es ist ein Fehler aufgetreten.
portal-engine.404.headline;404
portal-engine.404.message;Die Seite wurde nicht gefunden.
portal-engine.404.link;Zurück zur Startseite
portal-engine.exception-error-page.headline;Oops
portal-engine.exception-error-page.message;Es ist ein Fehler aufgetreten.
portal-engine.exception-error-page.message.link;Zurück zur Startseite
portal-engine.access-denied.headline;Zugriff verweitert!
portal-engine.access-denied.message;Sie haben keinen Zugriff zur gewünschten Seite.
portal-engine.action-bar.add-cart;Zum Warenkorb hinzufügen
portal-engine.action-bar.add-to-collection;Zu Kollektion hinzufügen
portal-engine.action-bar.delete;Löschen
portal-engine.action-bar.detail;Detail
portal-engine.action-bar.direct-edit;Direct Edit
portal-engine.action-bar.download;Herunterladen
portal-engine.action-bar.edit;Bearbeiten
portal-engine.action-bar.open;Öffnen
portal-engine.action-bar.public-share;Öffentlich freigeben
portal-engine.action-bar.relocate;Verschieben
portal-engine.action-bar.remove-from-collection;Von Kollektion entfernen
portal-engine.action-bar.remove-from-my-list;Von meiner Liste entfernen
portal-engine.action-bar.replace;Ersetzen
portal-engine.action-bar.share;Für Benutzer freigeben
portal-engine.asset.CarImages.title;Titel
portal-engine.asset.Credits.author;Autor
portal-engine.asset.License.license;Lizenz
portal-engine.asset.add-new-metadata;Neue Metadaten hinzufügen ...
portal-engine.asset.add-tags;Tags hinzufügen
portal-engine.asset.apply-transition;Statusupdate durchführen
portal-engine.asset.change-file-name-suffix;_x
portal-engine.asset.change-file-names;Dateinamen ändern
portal-engine.asset.clear;Feld leeren
portal-engine.asset.compare;Vergleichen
portal-engine.asset.creation-date;Erstellung
portal-engine.asset.date;Versionsdatum
portal-engine.asset.delete-confirm.cancel;Abbrechen
portal-engine.asset.delete-confirm.confirm;Löschen
portal-engine.asset.delete-confirm.text;Ausgewählte(s) Asset(s) löschen?
portal-engine.asset.delete-confirm.title;Asset(s) löschen
portal-engine.asset.deleted;Asset(s) erfolgreich gelöscht.
portal-engine.asset.embedded-meta-data;Eingebettete Metadaten
portal-engine.asset.embedded-metadata-name;Attribut
portal-engine.asset.embedded-metadata-value;Wert
portal-engine.asset.file-description;Datei Informationen
portal-engine.asset.file-size;Dateigröße
portal-engine.asset.filename;Dateiname
portal-engine.asset.general;Allgemein
portal-engine.asset.id;ID
portal-engine.asset.keep-metadata;Behalte existierende Daten
portal-engine.asset.keeping-metadata;Existierende Daten werden behalten
portal-engine.asset.meta-data;Metadaten
portal-engine.asset.metadata;Metadaten
portal-engine.asset.modification-date;Änderung
portal-engine.asset.new-file-name;Neuer Dateiname
portal-engine.asset.no-metadata-yet;Noch keine Metadaten hinzugefügt
portal-engine.asset.note;Notiz
portal-engine.asset.original;Original
portal-engine.asset.overview;Übersicht
portal-engine.asset.public;Veröffentlicht
portal-engine.asset.publish;Version veröffentlichen
portal-engine.asset.publish-version;Version veröffentlichen
portal-engine.asset.save-metadata;Speichern
portal-engine.asset.save-tags;Tags speichern
portal-engine.asset.saving-metadata;Speichern...
portal-engine.asset.saving-tags;Speichern...
portal-engine.asset.tags;Tags
portal-engine.asset.tags-placeholder;Tippen um Tags hinzuzufügen
portal-engine.asset.type;Dateityp
portal-engine.asset.versions;Versionen
portal-engine.asset.workflow;Workflow
portal-engine.asset.workflow-comment;Workflow Kommentar
portal-engine.asset.workflow-transition-informations;Workflow Statusübergangsinformationen
portal-engine.auth.back-to-login;Zurück zur Anmeldung
portal-engine.auth.change-password.headline;Kennwort ändern
portal-engine.auth.change-user-data.headline;Benutzerdaten
portal-engine.auth.form_label_email;E-Mail
portal-engine.auth.form_label_password;Kennwort
portal-engine.auth.form_label_user_identifier;Benutzername eingeben um ein E-Mail mit einem Link zum Anmelden und Kennwort ändern zu bekommen
portal-engine.auth.form_remember_me;Angemeldet bleiben
portal-engine.auth.login-failed;Falscher Benutzername, falsches Kennwort oder der Benutzer hat keinen Zugriff auf der Portal.
portal-engine.auth.login-form.headline;Willkommen zum %name%
portal-engine.auth.login_button;Anmelden
portal-engine.auth.user-not-found;Benutzer nicht gefunden.
portal-engine.auth.password-and-password-repeat-are-not-identical;Kennwort und Kennwort Wiederholung sind nicht identisch.
portal-engine.auth.password-recover;Kennwort vergessen?
portal-engine.auth.password-recover-email;Ein temporärer Anmeldelink wurde an die hinterlegte E-Mail Adresse geschickt. Bitte das Postfach überprüfen.
portal-engine.auth.recover-password-form.headline;Kennwort zurücksetzen
portal-engine.auth.recover_password_button;Abschicken
portal-engine.auth.user-data.headline;Profileinstellungen
portal-engine.batch-task-notification.delete-asset.finished;Assets erfolgreich gelöscht.
portal-engine.batch-task-notification.delete-asset.finished.link-text;Neu laden
portal-engine.batch-task-notification.delete-asset.preparing;Löschen wird vorbereitet ...
portal-engine.batch-task-notification.delete-asset.running;Assets löschen ...
portal-engine.batch-task-notification.download-generation.finished;Elemente zum Herunterladen bereit.
portal-engine.batch-task-notification.download-generation.finished.link-text;Herunterladen
portal-engine.batch-task-notification.download-generation.finished.no-action;Keine Elemente zum Herunterladen.
portal-engine.batch-task-notification.download-generation.finished.no-action.link-text;Ok
portal-engine.batch-task-notification.download-generation.preparing;Herunterladen wird vorbereitet ...
portal-engine.batch-task-notification.download-generation.running;Herunterladen wird vorbereitet ...
portal-engine.batch-task-notification.relocate-asset.finished;Verschieben abgeschlossen.
portal-engine.batch-task-notification.relocate-asset.finished.link-text;Ordner öffnen
portal-engine.batch-task-notification.relocate-asset.preparing;Verschieben vorbereiten...
portal-engine.batch-task-notification.relocate-asset.running;Element(e) werden verschoben...
portal-engine.batch-task-notification.update-asset-metadata.finished;Metadatenänderung abgeschlossen.
portal-engine.batch-task-notification.update-asset-metadata.finished.link-text;Neu laden
portal-engine.batch-task-notification.update-asset-metadata.preparing;Metadatenänderung wird vorbereitet ...
portal-engine.batch-task-notification.update-asset-metadata.running;Ändern der Metadaten ...
portal-engine.collection.add-modal.close;Schließen
portal-engine.collection.add-modal.create-new;Neue Kollektion erstellen
portal-engine.collection.add-modal.cta;Zu Kollektion hinzufügen
portal-engine.collection.add-modal.label;Kollektion
portal-engine.collection.add-modal.title;Zu Kollektion hinzufügen
portal-engine.collection.add-to-collection;Element zur Kollektion hinzugefügt.
portal-engine.collection.add-to-new-collection;Neue Kollektion erstellt und Element hinzugefügt.
portal-engine.collection.create;Neue Kollektion erstellen
portal-engine.collection.create-prompt.cancel;Abbrechen
portal-engine.collection.create-prompt.confirm;Erstellen
portal-engine.collection.create-prompt.label;Kollektionsname
portal-engine.collection.create-prompt.title;Neue Kollektion erstellen
portal-engine.collection.created;Kollektion erstellt.
portal-engine.collection.delete-confirm.cancel;Abbrechen
portal-engine.collection.delete-confirm.confirm;Löschen
portal-engine.collection.delete-confirm.text;Ausgewählte Kollektion löschen?
portal-engine.collection.delete-confirm.title;Kollektion löschen
portal-engine.collection.deleted;Kollektion gelöscht.
portal-engine.collection.is-empty;Derzeit keine Elemente in der Kollektion.
portal-engine.collection.list.headline;Kollektionen
