key;en
portal-engine.general-error;An error has occurred.
portal-engine.404.headline;404
portal-engine.404.message;The page you are looking for was not found.
portal-engine.404.link;Back to home
portal-engine.exception-error-page.headline;Oops
portal-engine.exception-error-page.message;An error occured.
portal-engine.exception-error-page.message.link;Back to home
portal-engine.access-denied.headline;Access denied!
portal-engine.access-denied.message;You have no access to the requested page.
portal-engine.action-bar.add-cart;Add to Cart
portal-engine.action-bar.add-to-collection;Add to Collection
portal-engine.action-bar.delete;Delete
portal-engine.action-bar.detail;Detail
portal-engine.action-bar.direct-edit;Direct Edit
portal-engine.action-bar.download;Download
portal-engine.action-bar.edit;Edit
portal-engine.action-bar.open;Open
portal-engine.action-bar.public-share;Public Share
portal-engine.action-bar.relocate;Move
portal-engine.action-bar.remove-from-collection;Remove from Collection
portal-engine.action-bar.remove-from-my-list;Remove from my list
portal-engine.action-bar.replace;Replace
portal-engine.action-bar.share;Share
portal-engine.asset.CarImages.title;Title
portal-engine.asset.Credits.author;Author
portal-engine.asset.License.license;License
portal-engine.asset.add-new-metadata;Add new metadata ...
portal-engine.asset.add-tags;Add Tags
portal-engine.asset.apply-transition;Apply Transition
portal-engine.asset.change-file-name-suffix;_x
portal-engine.asset.change-file-names;Change Filenames
portal-engine.asset.clear;Clear field
portal-engine.asset.compare;Compare
portal-engine.asset.creation-date;Creation Date
portal-engine.asset.date;Version Date
portal-engine.asset.delete-confirm.cancel;Cancel
portal-engine.asset.delete-confirm.confirm;Delete
portal-engine.asset.delete-confirm.text;Delete selected asset(s)?
portal-engine.asset.delete-confirm.title;Delete Asset(s)
portal-engine.asset.deleted;Asset(s) deleted successfully.
portal-engine.asset.embedded-meta-data;Embedded Metadata
portal-engine.asset.embedded-metadata-name;Attribute
portal-engine.asset.embedded-metadata-value;Value
portal-engine.asset.file-description;File Description
portal-engine.asset.file-size;File Size
portal-engine.asset.filename;Filename
portal-engine.asset.general;General
portal-engine.asset.id;ID
portal-engine.asset.keep-metadata;Keep existing data
portal-engine.asset.keeping-metadata;Keeping existing data
portal-engine.asset.meta-data;Metadata
portal-engine.asset.metadata;Metadata
portal-engine.asset.modification-date;Modification Date
portal-engine.asset.new-file-name;New Filename
portal-engine.asset.no-metadata-yet;No metadata added yet
portal-engine.asset.note;Note
portal-engine.asset.original;Original
portal-engine.asset.overview;Overview
portal-engine.asset.public;Published
portal-engine.asset.publish;Publish other Version
portal-engine.asset.publish-version;Publish Version
portal-engine.asset.save-metadata;Save metadata
portal-engine.asset.save-tags;Save Tags
portal-engine.asset.saving-metadata;Saving metadata...
portal-engine.asset.saving-tags;Saving tags...
portal-engine.asset.tags;Tags
portal-engine.asset.tags-placeholder;Type to add Tags
portal-engine.asset.type;Type
portal-engine.asset.versions;Versions
portal-engine.asset.workflow;Workflow
portal-engine.asset.workflow-comment;Workflow Comment
portal-engine.asset.workflow-transition-informations;Workflow Transition Information
portal-engine.auth.back-to-login;Back to Login
portal-engine.auth.change-password.headline;Change Password
portal-engine.auth.change-user-data.headline;User Data
portal-engine.auth.form_label_email;E-Mail
portal-engine.auth.form_label_username;Username
portal-engine.auth.form_label_password;Password
portal-engine.auth.form_label_user_identifier;Enter your username and we will send a login link to your email address
portal-engine.auth.form_remember_me;Remember Me
portal-engine.auth.login-failed;Wrong username or password entered, or entered user has no access to portal.
portal-engine.auth.login-form.headline;Welcome to %name%
portal-engine.auth.login_button;Login
