key;en
ttl_configuration;Configuration
lbl_datasource;DataSource for Statistics
lbl_mode;Mode
lbl_mode_statistic;Statistic
lbl_mode_list;List
lbl_rows;Rows
lbl_columns;Columns
ttl_visualization;Visualization
lbl_chart_type;Chart Type
lbl_chart_type_none;None
lbl_chart_type_line;LineChart
lbl_chart_type_bar;BarChart
lbl_chart_type_area;AreaChart
lbl_chart_type_pie;PieChart
ttl_save;Save & Sharing
lbl_name;Name
lbl_shared_users;Shared Users
lbl_shared_roles;Shared Roles
btn_delete;Delete
btn_unshare;Un-Share
btn_save_configuration;Save Configuration
btn_save_copy;Save Copy
ttl_load_existing;Load existing
btn_load;Load
ttl_preview;Preview
ttl_start_new;Start New
ttl_filters;Filters
ttl_filter;Filter
lbl_field;Field
lbl_operator;Operator
lbl_filter;Filter
lbl_show_table;Show Table
lbl_show_chart;Show Chart
lbl_do_select;Select...
ttl_field_settings;Field Settings
lbl_metric;Metric
lbl_metric_count;count
lbl_metric_avg;avg
lbl_metric_max;max
lbl_metric_min;min
lbl_metric_sum;sum
lbl_results_order;Results Order
lbl_max_results;Max Results
lbl_interval;Interval
lbl_format;Format
lbl_minimal_document_count;Minimal Document Count
lbl_bounds_max;Bounds Max
lbl_order_key_asc;Key Asc
lbl_order_key_desc;Key Desc
lbl_order_count_asc;Count Asc
lbl_order_count_desc;Count Desc
lbl_order_asc;Asc
lbl_order_desc;Desc
lbl_count_order;Count Order
lbl_result;Result
lbl_own;own
lbl_global;global
lbl_shared;shared
